id,cluster,label
407542367671,1,1
408934522382,1,1
413439608173,7,1
414075764853,1,1
419223302917,5,0
419659356959,7,1
424388231333,0,0
424879169408,0,0
425577291923,5,0
427677700464,6,1
429923107993,3,0
434085807778,2,1
438889823686,1,1
439804089430,6,1
440547412552,5,0
441022273291,0,0
444498141205,7,1
445107976517,1,1
445972407709,7,1
446950152221,2,1
450696627196,2,1
450875280434,5,0
451115621158,2,1
454215309767,7,1
456068761143,0,0
456438082734,7,1
456848294741,7,1
460219703544,0,0
461567416208,0,0
461845599527,1,1
472524819242,6,1
472890523904,6,1
473623072737,7,1
474280641581,7,1
474877816928,5,0
476866365062,7,1
478263149367,8,0
478641134427,6,1
482711484576,2,1
485938576709,2,1
488284777027,2,1
489966644023,0,0
492043935205,4,1
494622515995,6,1
496816889201,7,1
497991941156,2,1
498148724535,0,0
500229314484,2,1
502355731300,0,0
502492346691,1,1
502666379920,0,0
505685300811,0,0
505727036961,6,1
506085899132,0,0
506217938614,0,0
506516425398,2,1
507151334062,6,1
507301153924,6,1
508705675438,2,1
509803096929,1,1
512115561842,3,0
515633380601,7,1
519523043142,6,1
521688376124,1,1
522699594880,6,1
523126220371,8,0
527513524145,1,1
527841270938,6,1
528473190220,7,1
530326467339,6,1
530839250387,2,1
532156016483,1,1
535147169479,6,1
537794905641,0,0
543083371030,8,0
550439711039,0,0
550699097107,7,1
550824816499,2,1
554556763469,1,1
554934799498,6,1
556873722359,2,1
557510439545,2,1
562644483220,2,1
565254289340,2,1
567178937487,7,1
569476192672,3,0
570165055314,0,0
572527507614,1,1
574397327438,6,1
576318259050,8,0
577295037933,6,1
581115248494,0,0
581345917865,2,1
582816965126,2,1
587216697333,7,1
589060066138,9,0
590496609767,0,0
593324656618,7,1
593948855549,8,0
597355425293,2,1
600628425457,7,1
601151545360,7,1
602720394896,5,0
606977580459,1,1
607944129448,6,1
608939374827,0,0
620187022059,6,1
621743044608,2,1
621818987245,7,1
623330210743,0,0
623992423880,1,1
624179141101,5,0
624234612968,7,1
625118767797,2,1
630132392663,8,0
631764704701,7,1
632662091867,5,0
635159010835,0,0
635315346916,0,0
636003157709,3,0
638319105726,2,1
640926753755,8,0
642017876916,2,1
642890962601,5,0
649387263878,6,1
649759679802,1,1
650177016310,7,1
650651954021,5,0
652263958710,2,1
653813339670,2,1
655099517340,2,1
655455561190,2,1
659061858032,7,1
660232361383,0,0
665391033670,1,1
665652027296,7,1
666207655158,1,1
669986972336,6,1
673399951512,6,1
677711541818,0,0
678827882270,7,1
683877419832,0,0
685469876576,7,1
687491646215,0,0
687614166407,1,1
688581497117,6,1
688684495583,1,1
691676578586,5,0
695799524664,7,1
696874601520,1,1
696919189849,7,1
702601812075,4,1
704732935585,7,1
707528840314,6,1
708926547970,6,1
711466802054,2,1
711954092132,9,0
713142020168,0,0
714130684131,1,1
718268169857,7,1
727941794770,2,1
728535918634,0,0
731628519845,5,0
733176370329,2,1
734296456453,4,1
737799359531,7,1
740636461664,2,1
741808060517,2,1
743056316867,5,0
745536967686,8,0
747298632726,0,0
747826355688,5,0
748548747258,7,1
748861601578,7,1
751401165309,5,0
752185453913,6,1
755020396264,7,1
755200733357,3,0
755491831973,1,1
756106530982,5,0
758839222703,6,1
760993038779,2,1
761375252872,2,1
763769451041,0,0
767604601191,1,1
768636443453,7,1
770070819764,1,1
776276895631,2,1
777953998828,7,1
787446444604,7,1
788733311230,6,1
788807531441,1,1
790099378712,5,0
793569630032,1,1
795586183228,1,1
797323407130,5,0
799406950356,2,1
802796690791,2,1
803138688295,7,1
806599957916,6,1
809181497950,6,1
809821621799,0,0
810601431356,6,1
811097209910,4,1
811748983541,1,1
813107284808,7,1
816622139539,2,1
817600743266,2,1
817880574087,7,1
818376322112,1,1
818743231898,6,1
819088955320,3,0
819168377451,7,1
820020964462,5,0
820741254773,6,1
828535486044,5,0
833583169738,5,0
834037955197,0,0
834683044992,7,1
834896551443,2,1
836642293415,9,0
837966292495,2,1
839265047606,2,1
839745214209,2,1
841931536160,7,1
846292610674,1,1
846756883124,5,0
847448212579,7,1
848612010685,7,1
849368748547,7,1
850961275723,0,0
851654668471,2,1
855010184258,7,1
857901669557,1,1
859279459691,6,1
860801208814,2,1
866253807498,1,1
870494197125,1,1
871802217433,5,0
872881219073,1,1
873655333875,1,1
876397394110,2,1
876746613047,8,0
880442713260,1,1
882767203362,1,1
884554603261,6,1
885139960564,2,1
885451189626,2,1
888014193986,7,1
891339182265,1,1
891887251888,2,1
897353501656,6,1
901706045162,2,1
902339290190,1,1
906544934073,6,1
906744822424,1,1
907064487512,6,1
910950270213,7,1
915981024333,6,1
917755392634,5,0
919329281161,2,1
920962379035,1,1
922574297624,0,0
925667714699,3,0
926380538546,6,1
928974227119,0,0
933223237175,1,1
934793460133,0,0
935965648327,1,1
937426679169,2,1
937959014695,0,0
939841669155,7,1
941411934827,6,1
941898944425,1,1
943197120673,7,1
944173446468,4,1
945903519039,7,1
950515999325,0,0
951479349769,6,1
952302704186,5,0
957360523704,1,1
959328834899,0,0
960918250329,2,1
961387049530,7,1
961876711247,0,0
963207341397,7,1
964935816810,7,1
965351854183,2,1
965696549194,7,1
966872552100,4,1
967370695976,8,0
967989340695,7,1
969277393091,0,0
974722218596,7,1
977904197322,7,1
978167083900,7,1
978337452097,0,0
978339260259,0,0
979083556707,5,0
979935211716,2,1
980841892564,6,1
982647579697,1,1
986913604470,5,0
987169196171,7,1
989609090547,8,0
990585347886,2,1
991737052932,4,1
996032197768,0,0
996045911412,5,0
998369588873,1,1
999957685783,1,1
